PROCESS_DATE;PART_I_D;PART_CONSUMPTION
2021-06-14;119581;3.0
2021-06-14;118699;2.0
2021-06-14;119584;0.0
2021-06-14;118566;4.0
2021-06-14;119585;1.0
2021-06-14;118229;17.0
2021-06-14;119708;7.0
2021-06-14;117907;8.0
2021-06-14;213489;44.0
2021-06-14;111776;4.0
2021-06-14;103376;14.0
2021-06-15;119581;1.0
2021-06-15;118699;0.0
2021-06-15;119584;1.0
2021-06-15;118566;0.0
2021-06-15;119585;0.0
2021-06-15;118229;6.0
2021-06-15;119708;6.0
2021-06-15;117907;0.0
2021-06-15;213489;10.0
2021-06-15;111776;0.0
2021-06-15;103376;5.0
2021-06-16;119581;0.0
2021-06-16;118699;0.0
2021-06-16;119584;0.0
2021-06-16;118566;0.0
2021-06-16;119585;3.0
2021-06-16;118229;0.0
2021-06-16;119708;2.0
2021-06-16;117907;0.0
2021-06-16;213489;6.0
2021-06-16;111776;0.0
2021-06-16;103376;9.0
2021-06-17;119581;0.0
2021-06-17;118699;0.0
2021-06-17;119584;1.0
2021-06-17;118566;0.0
2021-06-17;119585;0.0
2021-06-17;118229;3.0
2021-06-17;119708;10.0
2021-06-17;117907;4.0
2021-06-17;213489;8.0
2021-06-17;111776;0.0
2021-06-17;103376;11.0
2021-06-18;119581;0.0
2021-06-18;118699;0.0
2021-06-18;119584;0.0
2021-06-18;118566;1.0
2021-06-18;119585;0.0
2021-06-18;118229;2.0
2021-06-18;119708;2.0
2021-06-18;117907;2.0
2021-06-18;213489;12.0
2021-06-18;111776;2.0
2021-06-18;103376;4.0
2021-06-19;119581;0.0
2021-06-19;118699;0.0
2021-06-19;119584;0.0
2021-06-19;118566;2.0
2021-06-19;119585;0.0
2021-06-19;118229;15.0
2021-06-19;119708;0.0
2021-06-19;117907;4.0
2021-06-19;213489;16.0
2021-06-19;111776;0.0
2021-06-19;103376;0.0
2021-06-20;119581;0.0
2021-06-20;118699;0.0
2021-06-20;119584;0.0
2021-06-20;118566;0.0
2021-06-20;119585;0.0
2021-06-20;118229;0.0
2021-06-20;119708;0.0
2021-06-20;117907;0.0
2021-06-20;213489;0.0
2021-06-20;111776;0.0
2021-06-20;103376;0.0
2021-06-21;119581;0.0
2021-06-21;118699;0.0
2021-06-21;119584;0.0
2021-06-21;118566;0.0
2021-06-21;119585;3.0
2021-06-21;118229;6.0
2021-06-21;119708;4.0
2021-06-21;117907;0.0
2021-06-21;213489;8.0
2021-06-21;111776;2.0
2021-06-21;103376;8.0
2021-06-22;119581;0.0
2021-06-22;118699;0.0
2021-06-22;119584;4.0
2021-06-22;118566;0.0
2021-06-22;119585;0.0
2021-06-22;118229;9.0
2021-06-22;119708;3.0
2021-06-22;117907;0.0
2021-06-22;213489;8.0
2021-06-22;111776;2.0
2021-06-22;103376;6.0
2021-06-23;119581;2.0
2021-06-23;118699;0.0
2021-06-23;119584;4.0
2021-06-23;118566;0.0
2021-06-23;119585;2.0
2021-06-23;118229;3.0
2021-06-23;119708;7.0
2021-06-23;117907;0.0
2021-06-23;213489;16.0
2021-06-23;111776;2.0
2021-06-23;103376;12.0
2021-06-24;119581;0.0
2021-06-24;118699;0.0
2021-06-24;119584;1.0
